gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
10662-10662_game_1,Bilibili Gaming,1,37,16,6,8.833333333,4,1,5,8,1,9,71412,226,36684
10662-10662_game_2,Bilibili Gaming,1,35,19,5,10.8,1,1,2,9,1,10,55942,170,33092
10662-10662_game_3,Bilibili Gaming,1,45,28,14,5.214285714,4,1,5,11,2,13,91850,244,42271
10664-10664_game_1,Bilibili Gaming,1,40,18,12,4.833333333,3,1,4,10,1,11,75439,367,41185
10664-10664_game_2,Bilibili Gaming,1,52,21,2,36.5,1,1,2,9,2,11,60318,206,35072
10664-10664_game_3,Bilibili Gaming,1,53,21,10,7.4,2,1,3,8,1,9,84020,272,40866
10665-10665_game_1,Bilibili Gaming,1,38,17,3,18.33333333,2,1,3,10,2,12,78693,249,39046
10665-10665_game_2,Bilibili Gaming,0,7,6,15,0.866666667,0,0,0,3,0,3,71432,295,30691
10665-10665_game_3,Bilibili Gaming,1,42,19,6,10.16666667,3,1,4,8,1,9,90723,262,39869
10675-10675_game_1,Bilibili Gaming,1,46,23,10,6.9,4,1,5,11,3,14,72856,331,46437
10675-10675_game_2,Bilibili Gaming,1,31,14,5,9,4,2,6,11,5,16,76669,353,48043
10683-10683_game_1,Bilibili Gaming,1,57,18,11,6.818181818,3,1,4,10,2,12,93492,424,49689
10683-10683_game_2,Bilibili Gaming,1,39,16,8,6.875,2,1,3,11,3,14,61864,232,38818
10695-10695_game_1,Bilibili Gaming,1,24,14,6,6.333333333,1,1,2,8,1,9,44721,156,30732
10695-10695_game_2,Bilibili Gaming,1,35,15,6,8.333333333,4,1,5,11,2,13,66840,200,36502
10702-10702_game_1,Bilibili Gaming,1,33,14,5,9.4,4,1,5,10,1,11,75138,363,45566
10702-10702_game_2,Bilibili Gaming,1,40,17,13,4.384615385,4,3,7,11,5,16,99701,538,59714
10762-10762_game_1,Bilibili Gaming,0,15,7,15,1.466666667,1,0,1,1,0,1,54548,177,23677
10762-10762_game_2,Bilibili Gaming,0,7,3,18,0.555555556,1,0,1,3,0,3,61647,209,26157
10773-10773_game_1,Bilibili Gaming,1,43,17,6,10,4,2,6,9,1,10,73746,447,51597
10773-10773_game_2,Bilibili Gaming,0,22,11,17,1.941176471,1,1,2,7,1,8,96312,375,46976
10773-10773_game_3,Bilibili Gaming,1,49,23,21,3.428571429,2,0,2,10,1,11,98592,332,49638
10779-10779_game_1,Bilibili Gaming,1,30,14,3,14.66666667,3,2,5,11,3,14,68602,383,47728
10779-10779_game_2,Bilibili Gaming,1,51,27,18,4.333333333,4,2,6,11,3,14,138743,328,53658
10786-10786_game_1,Bilibili Gaming,1,48,21,7,9.857142857,3,1,4,10,1,11,88731,306,43364
10786-10786_game_2,Bilibili Gaming,1,54,23,20,3.85,4,2,6,11,3,14,159103,378,58399
10877-10877_game_1,Bilibili Gaming,1,53,21,16,4.625,4,0,4,10,3,13,109593,359,48957
10877-10877_game_2,Bilibili Gaming,1,47,17,12,5.333333333,1,1,2,8,1,9,99488,326,43220
10884-10884_game_1,Bilibili Gaming,1,52,24,11,6.909090909,3,1,4,10,2,12,63874,280,46268
10884-10884_game_2,Bilibili Gaming,1,57,23,10,8,4,1,5,9,1,10,88966,255,40047
10889-10889_game_1,Bilibili Gaming,1,55,23,5,15.6,3,1,4,10,2,12,83493,243,40024
10889-10889_game_2,Bilibili Gaming,1,42,20,3,20.66666667,2,1,3,9,2,11,72810,283,41023
10898-10898_game_1,Bilibili Gaming,1,25,11,8,4.5,4,0,4,9,2,11,78348,266,39931
10898-10898_game_2,Bilibili Gaming,1,36,17,13,4.076923077,4,2,6,8,1,9,85824,329,44510
10906-10906_game_1,Bilibili Gaming,1,54,23,9,8.555555556,3,1,4,9,1,10,79040,278,42237
10906-10906_game_2,Bilibili Gaming,1,33,22,8,6.875,4,1,5,10,2,12,102340,274,43979
10915-10915_game_1,Bilibili Gaming,1,26,18,4,11,3,1,4,9,1,10,78826,198,36643
10915-10915_game_2,Bilibili Gaming,0,17,9,28,0.928571429,2,0,2,6,0,6,86180,347,37151
10915-10915_game_3,Bilibili Gaming,1,38,21,8,7.375,3,1,4,10,2,12,74981,277,41390
10923-10923_game_1,Bilibili Gaming,1,49,23,6,12,2,1,3,9,1,10,113066,278,45447
10923-10923_game_2,Bilibili Gaming,1,26,11,3,12.33333333,3,1,4,10,2,12,58376,242,37992
10951-10951_game_1,Bilibili Gaming,1,38,13,5,10.2,4,2,6,9,1,10,68478,321,40927
10951-10951_game_2,Bilibili Gaming,0,24,8,21,1.523809524,0,0,0,2,0,2,61932,286,31521
10951-10951_game_3,Bilibili Gaming,1,47,17,5,12.8,4,2,6,10,2,12,92880,294,44813
10951-10951_game_4,Bilibili Gaming,1,42,17,9,6.555555556,2,1,3,9,2,11,71531,267,39123
10954-10954_game_1,Bilibili Gaming,1,54,24,13,6,4,1,5,11,3,14,114696,363,49002
10954-10954_game_2,Bilibili Gaming,0,11,7,11,1.636363636,1,1,2,3,0,3,66507,260,35236
10954-10954_game_3,Bilibili Gaming,1,47,23,4,17.5,4,1,5,10,2,12,82616,395,53850
10954-10954_game_4,Bilibili Gaming,0,41,14,25,2.2,1,1,2,4,0,4,96329,289,39085
10954-10954_game_5,Bilibili Gaming,1,36,14,7,7.142857143,2,1,3,9,2,11,74067,365,44853
10956-10956_game_1,Bilibili Gaming,1,45,17,12,5.166666667,2,1,3,10,3,13,203097,410,55057
10956-10956_game_2,Bilibili Gaming,1,63,22,4,21.25,2,1,3,9,2,11,68774,154,35537
10956-10956_game_3,Bilibili Gaming,0,46,21,22,3.045454545,2,0,2,5,0,5,131640,373,43062
10956-10956_game_4,Bilibili Gaming,1,41,16,4,14.25,3,1,4,10,2,12,108319,294,41839
11050-11050_game_1,Bilibili Gaming,1,41,21,7,8.857142857,3,1,4,10,2,12,67601,212,37505
11050-11050_game_2,Bilibili Gaming,0,25,14,21,1.857142857,2,0,2,4,0,4,67750,299,35782
11050-11050_game_3,Bilibili Gaming,1,39,14,8,6.625,1,1,2,7,1,8,53490,201,33265
11050-11050_game_4,Bilibili Gaming,0,21,10,18,1.722222222,1,0,1,2,0,2,68464,278,31755
11050-11050_game_5,Bilibili Gaming,1,54,19,3,24.33333333,3,1,4,10,2,12,76106,240,36436
11055-11055_game_1,Bilibili Gaming,1,39,17,7,8,2,1,3,11,3,14,72322,267,39817
11055-11055_game_2,Bilibili Gaming,0,9,5,20,0.7,1,0,1,0,0,0,100505,233,29245
11055-11055_game_3,Bilibili Gaming,1,57,21,6,13,4,1,5,9,1,10,79422,264,40774
11055-11055_game_4,Bilibili Gaming,1,,12,4,11.5,1,1,2,9,1,10,76441,229,41172
11058-11058_game_1,Bilibili Gaming,1,59,18,6,12.83333333,4,2,6,10,2,12,80322,440,46428
11058-11058_game_2,Bilibili Gaming,0,12,6,18,1,1,0,1,3,0,3,58395,263,29456
11058-11058_game_3,Bilibili Gaming,0,7,3,20,0.5,0,1,1,2,0,2,40288,211,26491
11058-11058_game_4,Bilibili Gaming,0,34,16,24,2.083333333,2,1,3,4,0,4,94315,450,42479
11060-11060_game_1,Bilibili Gaming,1,42,19,15,4.066666667,4,1,5,8,1,9,89760,268,40463
11060-11060_game_2,Bilibili Gaming,0,22,9,16,1.9375,3,0,3,0,0,0,59148,250,27095
11060-11060_game_3,Bilibili Gaming,1,73,23,4,24,1,0,1,9,1,10,81033,160,34867
11060-11060_game_4,Bilibili Gaming,0,32,17,28,1.75,3,0,3,5,0,5,122007,316,42797
11060-11060_game_5,Bilibili Gaming,1,44,18,5,12.4,2,1,3,7,1,8,68945,314,43396
11061-11061_game_1,Bilibili Gaming,0,30,10,16,2.5,4,0,4,5,0,5,95780,370,42252
11061-11061_game_2,Bilibili Gaming,0,45,17,39,1.58974359,0,0,0,4,0,4,113119,327,44847
11061-11061_game_3,Bilibili Gaming,1,34,20,13,4.153846154,2,2,4,9,1,10,114768,337,48710
11061-11061_game_4,Bilibili Gaming,0,16,9,23,1.086956522,3,1,4,10,3,13,91419,423,52692
11139-11139_game_1,Bilibili Gaming,1,43,16,10,5.9,4,1,5,10,2,12,69317,291,44503
11139-11139_game_2,Bilibili Gaming,1,54,22,10,7.6,2,2,4,11,4,15,86770,243,47089
11145-11145_game_1,Bilibili Gaming,1,40,22,21,2.952380952,0,3,3,10,1,11,139331,416,65130
11145-11145_game_2,Bilibili Gaming,1,44,16,10,6,3,2,5,7,1,8,106650,382,51873
11151-11151_game_1,Bilibili Gaming,0,27,17,12,3.666666667,4,0,4,5,0,5,104360,414,43283
11151-11151_game_2,Bilibili Gaming,1,41,16,11,5.181818182,2,0,2,9,1,10,72134,283,41631
11151-11151_game_3,Bilibili Gaming,1,41,15,3,18.66666667,4,1,5,11,2,13,64477,236,41078
11161-11161_game_1,Bilibili Gaming,1,54,23,22,3.5,3,2,5,11,4,15,146670,390,52031
11161-11161_game_2,Bilibili Gaming,1,59,25,14,6,3,2,5,9,1,10,93056,280,45483
11169-11169_game_1,Bilibili Gaming,1,20,9,9,3.222222222,4,2,6,11,3,14,77861,304,47107
11169-11169_game_2,Bilibili Gaming,1,44,23,20,3.35,2,2,4,11,5,16,122471,351,55823
11179-11179_game_1,Bilibili Gaming,0,30,12,19,2.210526316,1,0,1,2,0,2,103233,271,38581
11179-11179_game_2,Bilibili Gaming,1,37,19,8,7,4,2,6,11,3,14,86716,258,44130
11179-11179_game_3,Bilibili Gaming,0,40,16,13,4.307692308,0,1,1,5,0,5,116953,308,45463
LOLTMNT03_107552,Bilibili Gaming,0,21,9,20,1.5,4,0,4,3,0,3,95038,362,39908
LOLTMNT03_107571,Bilibili Gaming,1,44,20,7,9.142857143,4,1,5,9,1,10,98517,266,44625
LOLTMNT03_107601,Bilibili Gaming,0,14,7,20,1.05,0,0,0,4,0,4,78259,269,31388
11282-11282_game_1,Bilibili Gaming,0,49,19,21,3.238095238,4,1,5,5,0,5,124887,408,49350
11282-11282_game_2,Bilibili Gaming,1,45,21,10,6.6,4,1,5,10,1,11,91617,219,38190
11282-11282_game_3,Bilibili Gaming,1,50,23,5,14.6,2,1,3,9,2,11,94879,246,41104
11290-11290_game_1,Bilibili Gaming,1,56,23,12,6.583333333,2,1,3,10,1,11,77542,241,40725
11290-11290_game_2,Bilibili Gaming,1,38,17,6,9.166666667,3,1,4,10,2,12,81845,274,43185
11297-11297_game_1,Bilibili Gaming,0,22,8,19,1.578947368,0,0,0,2,0,2,55954,272,33835
11297-11297_game_2,Bilibili Gaming,1,30,13,2,21.5,4,1,5,9,1,10,66993,309,39261
11297-11297_game_3,Bilibili Gaming,0,20,7,14,1.928571429,1,0,1,3,0,3,94096,274,32120
11303-11303_game_1,Bilibili Gaming,0,33,14,20,2.35,3,2,5,10,2,12,81749,310,46908
11303-11303_game_2,Bilibili Gaming,1,18,10,9,3.111111111,2,1,3,10,2,12,50891,253,35661
11303-11303_game_3,Bilibili Gaming,1,41,18,11,5.363636364,4,1,5,8,1,9,105116,299,38930
