gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
LOLTMNT02_22165,DRX,0,28,14,14,3,3,0,3,3,0,3,107963,357,45765
LOLTMNT02_21206,DRX,0,5,2,12,0.583333333,1,0,1,2,0,2,43407,182,25488
LOLTMNT02_23175,DRX,0,19,7,8,3.25,3,0,3,4,0,4,65008,242,32671
LOLTMNT02_23223,DRX,0,2,1,11,0.272727273,1,0,1,1,0,1,39039,126,20652
LOLTMNT02_32443,DRX,0,13,4,15,1.133333333,2,0,2,1,0,1,104366,369,39989
LOLTMNT02_31496,DRX,1,49,18,12,5.583333333,4,1,5,7,1,8,92209,295,39852
LOLTMNT02_32510,DRX,0,14,9,21,1.095238095,2,1,3,1,0,1,48303,272,31271
LOLTMNT02_33438,DRX,0,22,8,11,2.727272727,3,0,3,4,0,4,60240,299,36397
LOLTMNT02_34441,DRX,1,10,3,3,4.333333333,4,2,6,9,1,10,84542,425,41709
LOLTMNT02_34469,DRX,1,36,15,4,12.75,3,1,4,10,2,12,92294,303,42351
LOLTMNT02_37839,DRX,0,9,6,17,0.882352941,1,0,1,3,0,3,49380,233,27756
LOLTMNT02_37841,DRX,0,10,4,13,1.076923077,1,0,1,1,0,1,45201,167,21714
LOLTMNT02_41171,DRX,1,41,16,4,14.25,3,1,4,10,2,12,79738,339,45798
LOLTMNT02_42189,DRX,0,6,3,19,0.473684211,0,0,0,2,0,2,28613,265,25248
LOLTMNT02_41177,DRX,0,15,9,19,1.263157895,2,0,2,3,0,3,96799,380,42342
LOLTMNT01_55683,DRX,0,12,4,21,0.761904762,1,0,1,1,0,1,50714,270,31161
LOLTMNT01_55709,DRX,0,13,5,17,1.058823529,3,0,3,3,0,3,102081,345,39353
LOLTMNT01_58502,DRX,0,3,1,17,0.235294118,1,0,1,1,0,1,37126,213,23581
LOLTMNT01_59378,DRX,0,9,4,16,0.8125,0,0,0,3,0,3,54393,148,23009
LOLTMNT02_53568,DRX,0,13,6,18,1.055555556,0,0,0,3,0,3,54922,253,28941
LOLTMNT02_53589,DRX,0,25,10,24,1.458333333,0,0,0,1,0,1,41674,179,22763
