gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
10669-10669_game_1,LGD Gaming,0,30,13,12,3.583333333,3,1,4,4,0,4,122565,489,51969
10669-10669_game_2,LGD Gaming,0,9,6,23,0.652173913,0,0,0,3,0,3,74318,239,36690
10677-10677_game_1,LGD Gaming,0,21,8,17,1.705882353,3,0,3,4,0,4,132374,488,47984
10677-10677_game_2,LGD Gaming,1,31,13,6,7.333333333,3,1,4,8,2,10,88640,398,49165
10677-10677_game_3,LGD Gaming,1,47,15,7,8.857142857,4,0,4,8,1,9,105613,389,44952
10711-10711_game_1,LGD Gaming Young Team,0,40,17,13,4.384615385,3,1,4,5,0,5,104535,313,46937
10715-10715_game_1,LGD Gaming Young Team,1,34,16,12,4.166666667,3,1,4,11,3,14,85165,223,40297
10725-10725_game_1,LGD Gaming Young Team,1,19,10,1,29,4,2,6,10,2,12,72638,290,41430
10734-10734_game_1,LGD Gaming Young Team,0,8,4,21,0.571428571,0,0,0,1,0,1,56435,212,28216
10734-10734_game_2,LGD Gaming Young Team,0,46,20,23,2.869565217,3,2,5,8,0,8,115392,305,53027
10685-10685_game_1,LGD Gaming,1,41,13,14,3.857142857,3,1,4,9,2,11,133436,395,50606
10685-10685_game_2,LGD Gaming,1,28,11,15,2.6,0,1,1,7,1,8,79041,327,41692
10737-10737_game_1,LGD Gaming Young Team,1,40,17,11,5.181818182,4,0,4,8,1,9,67111,237,36808
10737-10737_game_2,LGD Gaming Young Team,1,43,26,7,9.857142857,4,1,5,11,2,13,67200,210,40812
10739-10739_game_1,LGD Gaming Young Team,0,23,12,20,1.75,3,2,5,7,1,8,133338,439,51120
10739-10739_game_2,LGD Gaming Young Team,1,34,17,5,10.2,2,1,3,11,3,14,60857,221,35764
10739-10739_game_3,LGD Gaming Young Team,0,14,8,20,1.1,0,0,0,2,0,2,57055,243,28687
10741-10741_game_1,LGD Gaming Young Team,1,51,19,3,23.33333333,4,1,5,10,2,12,87561,265,40343
10744-10744_game_1,LGD Gaming Young Team,1,32,18,12,4.166666667,4,1,5,9,2,11,63688,200,37530
10748-10748_game_1,LGD Gaming Young Team,0,32,15,21,2.238095238,3,0,3,3,0,3,66308,229,37171
10692-10692_game_1,LGD Gaming,1,41,14,5,11,4,2,6,11,3,14,123973,459,49569
10692-10692_game_2,LGD Gaming,0,41,15,19,2.947368421,4,2,6,7,0,7,99588,346,48473
10692-10692_game_3,LGD Gaming,0,8,4,15,0.8,2,0,2,0,0,0,32799,189,22637
10750-10750_game_1,LGD Gaming Young Team,1,71,23,9,10.44444444,3,0,3,9,1,10,85262,290,40760
10752-10752_game_1,LGD Gaming Young Team,1,90,33,25,4.92,4,1,5,9,3,12,178784,416,64386
10699-10699_game_1,LGD Gaming,0,26,10,20,1.8,4,1,5,3,0,3,139895,589,48975
10699-10699_game_2,LGD Gaming,1,22,11,5,6.6,2,1,3,10,2,12,69790,346,41226
10699-10699_game_3,LGD Gaming,0,18,7,23,1.086956522,2,0,2,2,0,2,41745,204,25184
10759-10759_game_1,LGD Gaming,1,38,12,10,5,3,1,4,9,1,10,94325,318,46591
10759-10759_game_2,LGD Gaming,0,30,11,29,1.413793103,0,0,0,1,0,1,80891,203,31630
10759-10759_game_3,LGD Gaming,0,22,8,17,1.764705882,1,0,1,5,0,5,68953,376,40352
10798-10798_game_1,LGD Gaming Young Team,0,7,5,13,0.923076923,0,0,0,2,0,2,62398,155,25101
10798-10798_game_2,LGD Gaming Young Team,1,43,18,3,20.33333333,4,1,5,11,3,14,65180,198,38238
10798-10798_game_3,LGD Gaming Young Team,1,84,35,22,5.409090909,3,1,4,11,1,12,158596,341,60772
10768-10768_game_1,LGD Gaming,1,50,20,9,7.777777778,4,3,7,9,1,10,100063,401,48011
10768-10768_game_2,LGD Gaming,0,18,10,17,1.647058824,1,1,2,1,0,1,65268,209,32624
10768-10768_game_3,LGD Gaming,0,3,2,12,0.416666667,1,0,1,1,0,1,34660,177,22971
