gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
LOLTMNT02_22225,T1,1,20,6,5,5.2,1,1,2,8,1,9,49024,276,36258
LOLTMNT02_21273,T1,0,27,10,17,2.176470588,2,0,2,5,0,5,77786,242,35858
LOLTMNT02_21295,T1,0,25,10,25,1.4,1,1,2,6,1,7,76561,439,51476
LOLTMNT02_24236,T1,1,42,21,5,12.6,2,1,3,11,3,14,81044,242,41049
LOLTMNT02_24257,T1,1,38,17,11,5,1,1,2,5,1,6,67853,206,35514
LOLTMNT02_32346,T1,0,16,13,18,1.611111111,1,1,2,3,0,3,55271,324,40072
LOLTMNT02_31412,T1,1,40,23,6,10.5,3,0,3,7,1,8,66457,142,30454
LOLTMNT02_31433,T1,1,40,16,2,28,3,2,5,10,1,11,62959,257,43478
LOLTMNT02_33526,T1,1,30,15,10,4.5,4,1,5,8,1,9,90700,366,47454
LOLTMNT02_34511,T1,1,36,18,9,6,4,1,5,10,2,12,71125,256,37872
LOLTMNT02_37839,T1,1,41,17,6,9.666666667,3,2,5,9,1,10,80702,247,41005
LOLTMNT02_37841,T1,1,18,13,4,7.75,3,1,4,10,2,12,55780,207,35931
LOLTMNT02_42207,T1,1,24,11,7,5,2,0,2,9,1,10,57763,227,32271
LOLTMNT02_42209,T1,1,43,20,16,3.9375,3,2,5,11,3,14,91866,258,45461
LOLTMNT01_57068,T1,1,25,17,4,10.5,3,1,4,10,2,12,64452,212,35968
LOLTMNT01_56898,T1,1,44,15,12,4.916666667,5,2,7,11,3,14,94884,316,50585
LOLTMNT01_58693,T1,1,41,14,7,7.857142857,1,1,2,9,1,10,69660,253,41054
LOLTMNT01_59546,T1,1,49,21,11,6.363636364,3,1,4,10,2,12,88017,296,41266
LOLTMNT02_52081,T1,1,52,19,12,5.916666667,2,2,4,11,3,14,96250,213,42685
LOLTMNT02_52097,T1,0,13,6,24,0.791666667,3,0,3,3,0,3,100043,387,43306
LOLTMNT02_52104,T1,1,49,24,12,6.083333333,2,1,3,10,2,12,84880,263,43474
LOLTMNT02_55559,T1,1,40,13,3,17.66666667,3,1,4,9,1,10,72395,270,42087
LOLTMNT02_55581,T1,1,35,16,5,10.2,4,1,5,10,2,12,71342,328,42705
LOLTMNT02_58729,T1,1,31,13,9,4.888888889,4,1,5,7,1,8,69823,282,41178
LOLTMNT02_59735,T1,1,34,18,7,7.428571429,4,1,5,8,1,9,84633,221,35817
LOLTMNT02_63186,T1,1,52,22,6,12.33333333,4,1,5,9,1,10,92541,278,43476
LOLTMNT02_62190,T1,1,55,23,10,7.8,5,1,6,9,1,10,79328,259,47269
LOLTMNT03_49696,T1,1,45,25,12,5.833333333,3,1,4,10,2,12,92562,263,45571
LOLTMNT03_48739,T1,1,69,34,12,8.583333333,4,1,5,8,1,9,111502,200,40713
LOLTMNT03_50419,T1,0,0,0,13,0,0,0,0,2,0,2,44421,189,24842
LOLTMNT03_51351,T1,0,14,7,16,1.3125,2,0,2,1,0,1,64283,229,30776
LOLTMNT03_52805,T1,1,43,14,6,9.5,2,2,4,10,2,12,97168,361,49025
LOLTMNT03_52814,T1,1,56,20,15,5.066666667,2,1,3,9,2,11,92062,382,47773
LOLTMNT03_55307,T1,0,15,8,15,1.533333333,0,0,0,3,0,3,40928,306,31810
LOLTMNT03_55310,T1,1,50,19,8,8.625,4,1,5,11,3,14,90248,307,45253
LOLTMNT03_55313,T1,0,15,9,22,1.090909091,3,0,3,2,0,2,53382,279,31115
LOLTMNT01_72528,T1,1,47,21,7,9.714285714,3,1,4,9,1,10,67339,170,35544
LOLTMNT01_71936,T1,1,45,22,19,3.526315789,7,5,12,11,10,21,136434,498,72971
LOLTMNT01_76009,T1,1,34,14,4,12,4,1,5,9,2,11,76318,239,37742
LOLTMNT01_75436,T1,1,30,13,6,7.166666667,2,2,4,8,1,9,81941,254,40471
LOLTMNT02_68790,T1,0,42,13,17,3.235294118,4,1,5,5,0,5,109549,265,40645
LOLTMNT02_69796,T1,0,20,8,22,1.272727273,3,1,4,2,0,2,81477,334,41418
LOLTMNT02_69799,T1,0,27,14,29,1.413793103,3,0,3,3,0,3,80884,258,35096
LOLTMNT02_71448,T1,1,39,15,9,6,1,1,2,8,1,9,70942,340,44340
LOLTMNT02_71450,T1,1,32,16,10,4.8,3,2,5,11,5,16,75361,298,44964
LOLTMNT02_71456,T1,1,53,18,13,5.461538462,3,2,5,10,2,12,92692,409,48008
LOLTMNT02_75115,T1,0,36,14,13,3.846153846,0,2,2,7,2,9,87835,468,51567
LOLTMNT02_76094,T1,1,46,16,12,5.166666667,3,2,5,10,2,12,106012,326,46350
LOLTMNT02_75116,T1,1,44,15,5,11.8,3,2,5,10,3,13,84693,382,44096
LOLTMNT02_76095,T1,1,51,19,9,7.777777778,4,2,6,8,2,10,90948,393,49689
LOLTMNT02_76144,T1,0,17,10,24,1.125,2,2,4,4,0,4,102114,454,49329
LOLTMNT02_76145,T1,1,43,17,13,4.615384615,3,2,5,8,1,9,104605,311,42660
LOLTMNT02_76146,T1,1,60,23,10,8.3,5,3,8,9,1,10,133644,378,53214
LOLTMNT02_76147,T1,0,4,3,15,0.466666667,1,0,1,4,0,4,53536,248,29842
LOLTMNT02_76148,T1,0,6,2,15,0.533333333,1,1,2,4,0,4,91838,365,42586
11039-11039_game_1,T1,1,22,14,10,3.6,3,1,4,9,2,11,58243,206,33592
11039-11039_game_2,T1,1,30,22,15,3.466666667,4,1,5,9,1,10,84083,250,38021
11042-11042_game_1,T1,1,33,13,1,46,1,0,1,7,1,8,48888,128,25919
11042-11042_game_2,T1,1,56,23,11,7.181818182,3,1,4,11,3,14,77395,295,42199
11051-11051_game_1,T1,1,58,21,9,8.777777778,3,1,4,9,1,10,83599,281,43133
11051-11051_game_2,T1,0,16,7,19,1.210526316,2,0,2,2,0,2,76283,251,29795
11051-11051_game_3,T1,0,20,8,24,1.166666667,0,0,0,3,0,3,62702,257,30248
11051-11051_game_4,T1,1,39,15,4,13.5,3,1,4,10,2,12,76319,257,36795
11051-11051_game_5,T1,1,50,22,11,6.545454545,3,2,5,9,2,11,115831,427,48098
11055-11055_game_1,T1,0,14,7,17,1.235294118,2,0,2,2,0,2,44520,197,29862
11055-11055_game_2,T1,1,43,20,5,12.6,3,2,5,11,3,14,97224,269,43783
11055-11055_game_3,T1,0,8,6,21,0.666666667,1,0,1,2,0,2,42575,237,29219
11055-11055_game_4,T1,0,11,4,12,1.25,3,0,3,3,0,3,46699,267,30886
11057-11057_game_1,T1,1,28,13,7,5.857142857,1,2,3,9,1,10,66979,226,37211
11057-11057_game_2,T1,1,40,19,13,4.538461538,2,1,3,8,1,9,118893,510,53527
11057-11057_game_3,T1,0,19,12,21,1.476190476,4,0,4,3,0,3,76448,293,36896
11057-11057_game_4,T1,1,41,27,13,5.230769231,1,1,2,11,3,14,75893,193,36138
11059-11059_game_1,T1,1,51,20,5,14.2,3,1,4,10,2,12,59023,277,38515
11059-11059_game_2,T1,1,42,16,17,3.411764706,2,1,3,10,1,11,65311,356,43310
11059-11059_game_3,T1,1,50,18,11,6.181818182,1,2,3,8,1,9,71526,338,46322
11060-11060_game_1,T1,0,37,15,19,2.736842105,1,0,1,3,0,3,65749,227,32194
11060-11060_game_2,T1,1,27,16,9,4.777777778,1,0,1,8,1,9,61116,266,37489
11060-11060_game_3,T1,0,5,4,23,0.391304348,2,0,2,2,0,2,38576,163,22585
11060-11060_game_4,T1,1,66,28,17,5.529411765,3,2,5,10,2,12,107100,310,50957
11060-11060_game_5,T1,0,7,5,18,0.666666667,2,0,2,3,0,3,57879,253,32666
LOLTMNT01_123547,T1,1,27,13,7,5.714285714,3,1,4,9,1,10,80302,334,48734
LOLTMNT01_125566,T1,1,56,24,7,11.42857143,3,1,4,11,1,12,84686,237,47471
LOLTMNT01_126562,T1,0,12,4,17,0.941176471,1,0,1,1,0,1,37044,213,25647
LOLTMNT01_126571,T1,0,10,6,16,1,2,0,2,2,0,2,44163,165,24175
LOLTMNT02_108532,T1,1,61,23,15,5.6,4,3,7,10,4,14,141773,426,58306
LOLTMNT02_108563,T1,1,23,12,4,8.75,2,1,3,8,1,9,44338,234,34763
LOLTMNT02_110747,T1,0,16,9,11,2.272727273,1,0,1,6,0,6,101194,302,43473
LOLTMNT02_111684,T1,1,54,20,9,8.222222222,4,1,5,10,2,12,111895,324,47516
LOLTMNT02_110815,T1,1,57,22,6,13.16666667,3,1,4,9,2,11,84436,236,40218
LOLTMNT02_122032,T1,1,18,11,7,4.142857143,3,1,4,11,4,15,79804,349,47881
LOLTMNT02_122043,T1,1,18,9,2,13.5,2,0,2,7,1,8,39993,164,28328
LOLTMNT02_127393,T1,1,26,9,6,5.833333333,1,1,2,8,1,9,73160,330,43568
